age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome
28;services;single;secondary;no;168;no;no;cellular;1;jun;347;3;140;2;success
70;retired;married;primary;no;2346;no;no;cellular;1;jun;421;1;97;6;success
51;management;married;tertiary;no;176;yes;yes;unknown;1;jun;8;1;687;2;failure
21;student;single;unknown;no;200;no;no;unknown;1;jun;8;1;-1;0;unknown
44;unemployed;married;secondary;no;317;yes;yes;unknown;1;jun;4;1;-1;0;unknown
31;management;single;tertiary;no;515;no;no;cellular;1;jun;296;5;-1;0;unknown
28;management;single;tertiary;no;223;yes;no;cellular;1;jun;303;1;278;3;success
28;blue-collar;single;secondary;no;75;no;no;unknown;1;jun;7;1;-1;0;unknown
32;management;married;tertiary;no;1402;no;no;unknown;1;jun;52;1;557;2;failure
45;management;divorced;tertiary;no;0;no;no;unknown;1;jun;5;1;-1;0;unknown
36;self-employed;single;tertiary;no;134;no;yes;unknown;1;jun;36;1;-1;0;unknown
34;technician;single;secondary;no;1087;no;no;unknown;1;jun;7;1;-1;0;unknown
29;blue-collar;married;secondary;no;3310;no;no;cellular;2;jun;344;2;117;2;failure
49;admin.;single;tertiary;no;228;yes;no;cellular;2;jun;407;1;92;1;success
27;blue-collar;single;tertiary;no;644;no;no;cellular;2;jun;657;1;182;1;success
28;admin.;married;secondary;no;330;no;no;cellular;2;jun;226;2;182;4;success
37;admin.;divorced;tertiary;no;4708;no;no;cellular;2;jun;238;1;181;2;success
54;management;divorced;tertiary;no;496;no;no;cellular;2;jun;161;1;140;3;success
65;admin.;married;secondary;no;952;no;no;cellular;2;jun;310;1;-1;0;unknown
31;technician;single;secondary;no;90;no;yes;unknown;4;jun;35;1;-1;0;unknown
27;blue-collar;single;primary;no;268;no;no;unknown;4;jun;32;1;-1;0;unknown
62;management;married;tertiary;no;5008;no;no;telephone;4;jun;139;2;-1;0;unknown
30;technician;single;secondary;no;1165;no;no;cellular;4;jun;204;2;183;3;success
39;housemaid;divorced;secondary;no;70;no;no;cellular;4;jun;346;2;128;8;success
26;technician;single;tertiary;no;1066;no;no;cellular;4;jun;112;1;50;1;success
62;management;married;tertiary;no;0;yes;yes;cellular;4;jun;106;1;64;3;failure
30;management;married;tertiary;no;1288;no;no;unknown;7;jun;6;1;-1;0;unknown
33;technician;single;tertiary;no;172;no;no;unknown;7;jun;13;1;-1;0;unknown
51;management;married;tertiary;no;0;no;no;unknown;7;jun;302;1;-1;0;unknown
56;admin.;married;secondary;no;699;no;no;unknown;7;jun;54;1;-1;0;unknown
22;services;single;secondary;no;361;no;no;telephone;7;jun;140;4;367;2;failure
68;retired;married;unknown;no;3701;no;no;telephone;8;jun;149;1;-1;0;unknown
38;admin.;married;secondary;no;0;yes;no;cellular;8;jun;187;1;181;2;success
36;technician;divorced;secondary;no;2823;yes;no;cellular;8;jun;215;1;371;6;failure
35;management;single;tertiary;no;3544;yes;no;cellular;8;jun;380;1;-1;0;unknown
23;student;single;tertiary;no;508;no;no;cellular;8;jun;544;1;-1;0;unknown
63;retired;divorced;secondary;no;1490;no;no;cellular;8;jun;506;1;-1;0;unknown
39;services;married;secondary;no;1970;yes;no;unknown;8;jun;30;1;404;2;success
59;blue-collar;married;secondary;no;448;no;no;unknown;8;jun;198;1;651;7;other
34;admin.;married;secondary;no;592;yes;no;unknown;8;jun;49;1;-1;0;unknown
49;management;divorced;tertiary;no;1405;no;no;unknown;8;jun;29;1;-1;0;unknown
59;management;married;tertiary;no;101;no;yes;unknown;9;jun;29;1;686;2;failure
63;retired;married;primary;no;48;no;no;cellular;9;jun;251;1;-1;0;unknown
34;management;married;tertiary;no;158;no;no;cellular;9;jun;190;1;92;9;success
36;services;married;secondary;no;4721;no;no;cellular;9;jun;150;1;92;5;success
31;management;married;tertiary;no;877;no;no;cellular;9;jun;192;1;93;7;other
28;management;single;tertiary;no;187;no;no;cellular;9;jun;206;1;92;1;success
80;retired;married;secondary;no;8304;no;no;telephone;9;jun;712;1;64;12;failure
39;blue-collar;married;secondary;no;276;no;no;cellular;9;jun;334;2;-1;0;unknown
34;services;divorced;secondary;no;44;no;no;unknown;9;jun;118;1;-1;0;unknown
83;retired;married;tertiary;no;4761;no;no;telephone;9;jun;294;2;93;1;success
31;management;single;tertiary;no;147;no;no;cellular;9;jun;163;2;92;3;success
39;services;married;secondary;no;323;no;no;cellular;9;jun;874;2;188;6;failure
50;admin.;married;secondary;no;2971;no;no;cellular;9;jun;722;2;-1;0;unknown
27;admin.;single;secondary;no;240;yes;yes;unknown;9;jun;46;1;-1;0;unknown
50;technician;single;tertiary;no;2;no;no;unknown;10;jun;2389;1;-1;0;unknown
30;blue-collar;single;secondary;no;799;no;no;unknown;13;jun;674;1;-1;0;unknown
